t_sec,x_m,y_m
3.980000,0.034299,0.050456
4.000000,0.034299,0.050456
4.020000,0.034299,0.050456
4.040000,0.034299,0.050456
4.060000,0.034299,0.050456
4.080000,0.034299,0.050456
4.100000,0.034299,0.050456
4.120000,0.034299,0.050456
4.140000,0.034299,0.050456
4.160000,0.034299,0.050456
4.180000,0.034299,0.050456
4.200000,0.034299,0.050456
4.220000,0.034299,0.050456
4.240000,0.034299,0.050456
4.260000,0.034299,0.050456
4.280000,0.034299,0.050456
4.300000,0.034299,0.050456
4.320000,0.034299,0.050456
4.340000,0.034299,0.050456
4.360000,0.034299,0.050456
4.380000,0.034299,0.050456
4.400000,0.034299,0.050456
4.420000,0.034299,0.050456
4.440000,0.034299,0.050456
4.460000,0.034299,0.050456
4.480000,0.034299,0.050456
4.500000,0.034299,0.050456
4.520000,0.034299,0.050456
4.540000,0.034299,0.050456
4.560000,0.034299,0.050456
4.580000,0.034299,0.050456
4.600000,0.034299,0.050456
4.620000,0.034299,0.050456
4.640000,0.034299,0.050456
4.660000,0.034299,0.050456
4.680000,0.034299,0.050456
4.700000,0.034299,0.050456
4.720000,0.034299,0.050456
4.740000,0.034299,0.050456
4.760000,0.034299,0.050456
4.780000,0.034299,0.050456
4.800000,0.034299,0.050456
4.820000,0.034299,0.050456
4.840000,0.034299,0.050456
4.860000,0.034299,0.050456
4.880000,0.034299,0.050456
4.900000,0.034299,0.050456
4.920000,0.034299,0.050456
4.940000,0.034299,0.050456
4.960000,0.034299,0.050456
4.980000,0.034299,0.050456
5.000000,0.034299,0.050456
5.020000,0.034299,0.050456
5.040000,0.034299,0.050456
5.060000,0.034299,0.050456
5.080000,0.034299,0.050456
5.100000,0.034299,0.050456
5.120000,0.034299,0.050456
5.140000,0.034299,0.050456
5.160000,0.034299,0.050456
5.180000,0.034299,0.050456
5.200000,0.034299,0.050456
5.220000,0.034299,0.050456
5.240000,0.034299,0.050456
5.260000,0.034299,0.050456
5.280000,0.034299,0.050456
5.300000,0.034299,0.050456
5.320000,0.034299,0.050456
5.340000,0.034299,0.050456
5.360000,0.034299,0.050456
5.380000,0.034299,0.050456
5.400000,0.034299,0.050456
5.420000,0.034299,0.050456
5.440000,0.034299,0.050456
5.460000,0.034299,0.050456
5.480000,0.034299,0.050456
5.500000,0.034299,0.050456
5.520000,0.034299,0.050456
5.540000,0.034299,0.050456
5.560000,0.034299,0.050456
5.580000,0.034299,0.050456
5.600000,0.034299,0.050456
5.620000,0.034299,0.050456
5.640000,0.034299,0.050456
5.660000,0.034299,0.050456
5.680000,0.034299,0.050456
5.700000,0.034299,0.050456
5.720000,0.034299,0.050456
5.740000,0.034299,0.050456
5.760000,0.034299,0.050456
5.780000,0.034299,0.050456
5.800000,0.034299,0.050456
