t_sec,x_m,y_m
3.660000,1.780857,-0.044858
3.680000,1.780857,-0.044858
3.700000,1.780857,-0.044858
3.720000,1.780857,-0.044858
3.740000,1.780857,-0.044858
3.760000,1.780857,-0.044858
3.780000,1.780857,-0.044858
3.800000,1.780857,-0.044858
3.820000,1.780857,-0.044858
3.840000,1.780857,-0.044858
3.860000,1.780857,-0.044858
3.880000,1.780857,-0.044858
3.900000,1.780857,-0.044858
3.920000,1.780857,-0.044858
3.940000,1.780857,-0.044858
3.960000,1.780857,-0.044858
3.980000,1.780857,-0.044858
4.000000,1.780857,-0.044858
4.020000,1.780857,-0.044858
4.040000,1.780857,-0.044858
4.060000,1.780857,-0.044858
4.080000,1.780857,-0.044858
4.100000,1.780857,-0.044858
4.120000,1.780857,-0.044858
4.140000,1.780857,-0.044858
4.160000,1.780857,-0.044858
4.180000,1.780857,-0.044858
4.200000,1.780857,-0.044858
4.220000,1.780857,-0.044858
4.240000,1.780857,-0.044858
4.260000,1.780857,-0.044858
4.280000,1.780857,-0.044858
4.300000,1.780857,-0.044858
4.320000,1.780857,-0.044858
4.340000,1.780857,-0.044858
4.360000,1.780857,-0.044858
4.380000,1.780857,-0.044858
4.400000,1.780857,-0.044858
4.420000,1.780857,-0.044858
4.440000,1.780857,-0.044858
4.460000,1.780857,-0.044858
4.480000,1.780857,-0.044858
4.500000,1.780857,-0.044858
4.520000,1.780857,-0.044858
4.540000,1.780857,-0.044858
4.560000,1.780857,-0.044858
4.580000,1.780857,-0.044858
4.600000,1.780857,-0.044858
4.620000,1.780857,-0.044858
4.640000,1.780857,-0.044858
4.660000,1.780857,-0.044858
4.680000,1.780857,-0.044858
4.700000,1.780857,-0.044858
4.720000,1.780857,-0.044858
4.740000,1.780857,-0.044858
4.760000,1.780857,-0.044858
4.780000,1.780857,-0.044858
4.800000,1.780857,-0.044858
4.820000,1.780857,-0.044858
4.840000,1.780857,-0.044858
4.860000,1.780857,-0.044858
4.880000,1.780857,-0.044858
4.900000,1.780857,-0.044858
4.920000,1.780857,-0.044858
4.940000,1.780857,-0.044858
4.960000,1.780857,-0.044858
4.980000,1.780857,-0.044858
5.000000,1.780857,-0.044858
5.020000,1.780857,-0.044858
5.040000,1.780857,-0.044858
5.060000,1.780857,-0.044858
5.080000,1.780857,-0.044858
5.100000,1.780857,-0.044858
5.120000,1.780857,-0.044858
5.140000,1.780857,-0.044858
5.160000,1.780857,-0.044858
5.180000,1.780857,-0.044858
5.200000,1.780857,-0.044858
5.220000,1.780857,-0.044858
5.240000,1.780857,-0.044858
5.260000,1.780857,-0.044858
5.280000,1.780857,-0.044858
5.300000,1.780857,-0.044858
5.320000,1.780857,-0.044858
5.340000,1.780857,-0.044858
5.360000,1.780857,-0.044858
5.380000,1.780857,-0.044858
5.400000,1.780857,-0.044858
5.420000,1.780857,-0.044858
5.440000,1.780857,-0.044858
5.460000,1.780857,-0.044858
5.480000,1.780857,-0.044858
5.500000,1.780857,-0.044858
5.520000,1.780857,-0.044858
5.540000,1.780857,-0.044858
5.560000,1.780857,-0.044858
5.580000,1.780857,-0.044858
5.600000,1.780857,-0.044858
5.620000,1.780857,-0.044858
5.640000,1.780857,-0.044858
5.660000,1.780857,-0.044858
5.680000,1.780857,-0.044858
5.700000,1.780857,-0.044858
5.720000,1.780857,-0.044858
5.740000,1.780857,-0.044858
5.760000,1.780857,-0.044858
5.780000,1.780857,-0.044858
5.800000,1.780857,-0.044858
5.820000,1.780857,-0.044858
5.840000,1.780857,-0.044858
5.860000,1.780857,-0.044858
5.880000,1.780857,-0.044858
5.900000,1.780857,-0.044858
5.920000,1.780857,-0.044858
5.940000,1.780857,-0.044858
5.960000,1.780857,-0.044858
5.980000,1.780857,-0.044858
6.000000,1.780857,-0.044858
6.020000,1.780857,-0.044858
6.040000,1.780857,-0.044858
6.060000,1.780857,-0.044858
6.080000,1.780857,-0.044858
6.100000,1.780857,-0.044858
6.120000,1.780857,-0.044858
6.140000,1.780857,-0.044858
6.160000,1.780857,-0.044858
6.180000,1.780857,-0.044858
6.200000,1.780857,-0.044858
6.220000,1.780857,-0.044858
6.240000,1.780857,-0.044858
6.260000,1.780857,-0.044858
6.280000,1.780857,-0.044858
6.300000,1.780857,-0.044858
6.320000,1.780857,-0.044858
6.340000,1.780857,-0.044858
6.360000,1.780857,-0.044858
6.380000,1.780857,-0.044858
6.400000,1.780857,-0.044858
6.420000,1.780857,-0.044858
6.440000,1.780857,-0.044858
6.460000,1.780857,-0.044858
6.480000,1.780857,-0.044858
6.500000,1.780857,-0.044858
6.520000,1.780857,-0.044858
6.540000,1.780857,-0.044858
6.560000,1.780857,-0.044858
6.580000,1.780857,-0.044858
6.600000,1.780857,-0.044858
6.620000,1.780857,-0.044858
6.640000,1.780857,-0.044858
6.660000,1.780857,-0.044858
6.680000,1.780857,-0.044858
6.700000,1.780857,-0.044858
6.720000,1.780857,-0.044858
6.740000,1.780857,-0.044858
6.760000,1.780857,-0.044858
6.780000,1.780857,-0.044858
6.800000,1.780857,-0.044858
6.820000,1.780857,-0.044858
6.840000,1.780857,-0.044858
6.860000,1.780857,-0.044858
6.880000,1.780857,-0.044858
6.900000,1.780857,-0.044858
6.920000,1.780857,-0.044858
6.940000,1.780857,-0.044858
6.960000,1.780857,-0.044858
6.980000,1.780857,-0.044858
7.000000,1.780857,-0.044858
7.020000,1.780857,-0.044858
7.040000,1.780857,-0.044858
7.060000,1.780857,-0.044858
7.080000,1.780857,-0.044858
7.100000,1.780857,-0.044858
7.120000,1.780857,-0.044858
7.140000,1.780857,-0.044858
7.160000,1.780857,-0.044858
7.180000,1.780857,-0.044858
7.200000,1.780857,-0.044858
7.220000,1.780857,-0.044858
7.240000,1.780857,-0.044858
7.260000,1.780857,-0.044858
7.280000,1.780857,-0.044858
7.300000,1.780857,-0.044858
7.320000,1.780857,-0.044858
7.340000,1.780857,-0.044858
7.360000,1.780857,-0.044858
7.380000,1.780857,-0.044858
7.400000,1.780857,-0.044858
7.420000,1.780857,-0.044858
7.440000,1.780857,-0.044858
7.460000,1.780857,-0.044858
7.480000,1.780857,-0.044858
7.500000,1.780857,-0.044858
7.520000,1.780857,-0.044858
7.540000,1.780857,-0.044858
7.560000,1.780857,-0.044858
7.580000,1.780857,-0.044858
7.600000,1.780857,-0.044858
7.620000,1.780857,-0.044858
7.640000,1.780857,-0.044858
7.660000,1.780857,-0.044858
7.680000,1.780857,-0.044858
7.700000,1.780857,-0.044858
7.720000,1.780857,-0.044858
7.740000,1.780857,-0.044858
7.760000,1.780857,-0.044858
7.780000,1.780857,-0.044858
7.800000,1.780857,-0.044858
7.820000,1.780857,-0.044858
7.840000,1.780857,-0.044858
7.860000,1.780857,-0.044858
7.880000,1.780857,-0.044858
7.900000,1.780857,-0.044858
7.920000,1.780857,-0.044858
7.940000,1.780857,-0.044858
7.960000,1.780857,-0.044858
7.980000,1.780857,-0.044858
8.000000,1.780857,-0.044858
8.020000,1.780857,-0.044858
8.040000,1.780857,-0.044858
8.060000,1.780857,-0.044858
8.080000,1.780857,-0.044858
8.100000,1.780857,-0.044858
8.120000,1.780857,-0.044858
8.140000,1.780857,-0.044858
8.160000,1.780857,-0.044858
8.180000,1.780857,-0.044858
8.200000,1.780857,-0.044858
8.220000,1.780857,-0.044858
8.240000,1.780857,-0.044858
8.260000,1.780857,-0.044858
8.280000,1.780857,-0.044858
8.300000,1.780857,-0.044858
8.320000,1.780857,-0.044858
8.340000,1.780857,-0.044858
8.360000,1.780857,-0.044858
8.380000,1.780857,-0.044858
8.400000,1.780857,-0.044858
8.420000,1.780857,-0.044858
8.440000,1.780857,-0.044858
8.460000,1.780857,-0.044858
8.480000,1.780855,-0.044858
8.500000,1.780855,-0.044858
8.520000,1.780854,-0.044858
8.540000,1.780854,-0.044858
8.560000,1.780854,-0.044858
8.580000,1.780852,-0.044858
8.600000,1.780852,-0.044858
8.620000,1.780851,-0.044857
8.640000,1.780851,-0.044857
8.660000,1.780849,-0.044857
8.680000,1.780849,-0.044857
8.700000,1.780849,-0.044857
8.720000,1.780848,-0.044857
8.740000,1.780848,-0.044857
8.760000,1.780848,-0.044857
8.780000,1.780848,-0.044857
8.800000,1.780848,-0.044857
8.820000,1.780848,-0.044857
8.840000,1.780848,-0.044857
8.860000,1.780848,-0.044857
8.880000,1.780848,-0.044857
8.900000,1.780848,-0.044857
8.920000,1.780848,-0.044857
8.940000,1.780848,-0.044857
8.960000,1.780848,-0.044857
8.980000,1.780848,-0.044857
9.000000,1.780848,-0.044857
9.020000,1.780848,-0.044857
9.040000,1.780848,-0.044857
9.060000,1.780848,-0.044857
9.080000,1.780848,-0.044857
9.100000,1.780848,-0.044857
9.120000,1.780848,-0.044857
9.140000,1.780848,-0.044857
9.160000,1.780848,-0.044857
9.180000,1.780848,-0.044857
9.200000,1.780848,-0.044857
9.220000,1.780848,-0.044857
9.240000,1.780848,-0.044857
9.260000,1.780848,-0.044857
9.280000,1.780848,-0.044857
9.300000,1.780848,-0.044857
9.320000,1.780848,-0.044857
9.340000,1.780925,-0.044928
9.360000,1.781154,-0.045144
9.380000,1.781380,-0.045365
9.400000,1.781601,-0.045591
9.420000,1.781817,-0.045821
9.440000,1.782029,-0.046056
9.460000,1.782235,-0.046294
9.480000,1.782438,-0.046537
9.500000,1.782635,-0.046783
9.520000,1.782827,-0.047034
9.540000,1.783014,-0.047288
9.560000,1.783196,-0.047546
9.580000,1.783373,-0.047808
9.600000,1.783545,-0.048073
